City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Zhigansk,RU,2021-07-27 18:46:17,66.7697,123.3711,49.23,79,5,12.68
172,Husavik,IS,2021-07-27 18:46:18,66.0449,-17.3389,49.91,99,100,11.1
173,Bembereke,BJ,2021-07-27 18:46:18,10.2283,2.6634,69.91,97,100,4.41
174,Khatanga,RU,2021-07-27 18:46:18,71.9667,102.5,75.47,55,100,17.25
175,Nouadhibou,MR,2021-07-27 18:46:19,20.931,-17.0347,75.18,69,5,19.57
176,Varna,BG,2021-07-27 18:43:00,43.2167,27.9167,77.43,80,0,3.44
177,Zlobin,HR,2021-07-27 18:46:19,45.2924,14.6541,70.9,67,0,3.44
178,Jiexiu,CN,2021-07-27 18:46:20,37.0244,111.9125,75.25,67,100,1.03
179,Georgetown,MY,2021-07-27 18:46:20,5.4112,100.3354,83.89,86,20,3.0
180,Chara,RU,2021-07-27 18:46:21,56.9064,118.2631,59.99,81,97,1.77
181,Oranjestad,AW,2021-07-27 18:45:38,12.524,-70.027,89.55,66,40,14.97
182,Hofn,IS,2021-07-27 18:45:31,64.2539,-15.2082,54.81,82,100,4.47
183,Pucallpa,PE,2021-07-27 18:46:22,-8.3791,-74.5539,91.44,55,40,8.05
184,Channel-Port Aux Basques,CA,2021-07-27 18:45:05,47.5702,-59.1367,62.87,97,99,8.97
185,Mount Isa,AU,2021-07-27 18:46:22,-20.7333,139.5,47.97,66,99,0.0
186,Rocha,UY,2021-07-27 18:46:23,-34.4833,-54.3333,46.45,63,20,17.76
187,Chuy,UY,2021-07-27 18:41:46,-33.6971,-53.4616,48.42,54,28,17.31
188,Dumas,US,2021-07-27 18:46:23,35.8656,-101.9732,94.42,35,1,11.5
189,Kavieng,PG,2021-07-27 18:46:24,-2.5744,150.7967,83.05,74,13,10.33
190,San Onofre,CO,2021-07-27 18:46:24,9.7359,-75.5263,84.29,71,89,9.22
191,Port Macquarie,AU,2021-07-27 18:46:24,-31.4333,152.9167,42.39,100,7,0.0
192,Harrisburg,US,2021-07-27 18:41:27,40.2737,-76.8844,92.17,42,1,3.0
193,Eureka,US,2021-07-27 18:44:25,40.8021,-124.1637,55.26,91,100,5.26
194,Suluq,LY,2021-07-27 18:46:25,31.6682,20.2521,83.01,46,0,10.8
195,Cherskiy,RU,2021-07-27 18:46:25,68.75,161.3,36.52,84,100,16.42
196,Iaciara,BR,2021-07-27 18:42:00,-14.0958,-46.6317,88.14,18,19,5.23
197,Qaanaaq,GL,2021-07-27 18:46:26,77.484,-69.3632,42.12,98,100,3.11
198,Mayo,US,2021-07-27 18:46:27,38.8876,-76.5119,98.08,54,0,7.0
199,San Quintin,MX,2021-07-27 18:46:10,30.4833,-115.95,76.05,66,1,11.43
200,Yulara,AU,2021-07-27 18:46:27,-25.2406,130.9889,67.84,34,90,5.75
201,Banda Aceh,ID,2021-07-27 18:46:28,5.5577,95.3222,80.29,82,50,11.86
202,Provideniya,RU,2021-07-27 18:41:58,64.3833,-173.3,46.98,99,100,10.83
203,Vuktyl,RU,2021-07-27 18:46:28,63.8567,57.3094,44.22,94,100,13.33
204,Seoul,KR,2021-07-27 18:46:12,37.5683,126.9778,80.2,86,0,2.3
205,Burnie,AU,2021-07-27 18:46:29,-41.0667,145.9167,54.91,84,100,24.92
206,Oudtshoorn,ZA,2021-07-27 18:46:29,-33.5907,22.2014,52.16,39,2,7.45
207,Bethel,US,2021-07-27 18:44:15,41.3712,-73.414,91.2,56,1,1.99
208,Goure,NE,2021-07-27 18:46:30,13.9835,10.2704,85.24,53,91,13.56
209,Shrigonda,IN,2021-07-27 18:46:30,18.6167,74.6833,73.92,80,100,11.21
210,Xai-Xai,MZ,2021-07-27 18:46:31,-25.0519,33.6442,61.66,69,0,6.91
211,Salalah,OM,2021-07-27 18:46:31,17.0151,54.0924,78.89,94,75,5.75
212,Rio Gallegos,AR,2021-07-27 18:42:33,-51.6226,-69.2181,42.85,87,90,11.5
213,Geraldton,AU,2021-07-27 18:46:32,-28.7667,114.6,60.13,88,90,4.61
214,Vestmannaeyjar,IS,2021-07-27 18:46:32,63.4427,-20.2734,55.31,82,45,9.44
215,Cap Malheureux,MU,2021-07-27 18:46:32,-19.9842,57.6142,68.49,86,63,5.01
216,Crixas,BR,2021-07-27 18:46:33,-14.5489,-49.9692,91.56,18,63,5.1
217,Mugur-Aksy,RU,2021-07-27 18:46:33,50.35,90.5,51.89,87,99,4.12
218,Oksfjord,NO,2021-07-27 18:46:34,70.2396,22.3479,60.87,86,16,2.84
219,Pacific Grove,US,2021-07-27 18:45:34,36.6177,-121.9166,87.62,79,1,4.0
220,Klaksvik,FO,2021-07-27 18:46:34,62.2266,-6.589,54.52,96,90,12.62
